kaptCode,kaptName,kaptAddr,doroJuso,codeSaleNm,codeHeatNm,kaptTarea,kaptDongCnt,kaptdaCnt,kaptBcompany,kaptAcompany,kaptTel,kaptUrl,codeAptNm,codeMgrNm,codeHallNm,kaptUsedate,kaptFax,hoCnt,kaptMarea,kaptMparea60,kaptMparea85,kaptMparea135,kaptMparea136,privArea,bjdCode,kaptTopFloor,ktownFlrNo,kaptBaseFloor,kaptdEcntp,zipcode
A46571502,에코타운1단지,경기도 하남시 신장동 562 에코타운1단지,경기도 하남시 하남대로784번길 29,분양,개별난방,51203,5,525,하남도시개발공사,현대산업개발,317770510, ,아파트,위탁관리,복도식,20041118,317770512,525,40362.13,525,0,0,0,30227.29,4145010600,23,23,0,10,12949
A46572201,하남대명강변타운,경기도 하남시 신장동 569 하남대명강변타운,경기도 하남시 대청로 79,분양,개별난방,193742.3,19,1369,(주)대명종합건설,(주)원진ENC,317933366,하남대명강변타운.apti.co.kr,아파트,위탁관리,계단식,20070831,317933404,1369,146998.34,0,1369,0,0,113752.35,4145010600,25,25,2,31,12945
A46572202,하남두산위브파크,경기도 하남시 신장동 570 하남두산위브파크,경기도 하남시 하남대로 747,분양,개별난방,53087.33,3,189,두산중공업,청솔주택(주)등 6인,317931076, ,주상복합,위탁관리,혼합식,20100906,317931077,189,35059.41,0,0,0,189,27583.95,4145010600,20,20,0,0,12961
A46581101,하남성원상떼빌,경기도 하남시 신장동 430-7 하남성원상떼빌,경기도 하남시 신장로 104,분양,개별난방,24135,1,234,성원건설(주),성원건설(주),317911613, ,주상복합,위탁관리,복도식,20031108,317911497,269,20806.98,184,49,1,0,10757.92,4145010600,18,18,2,2,12958
A10022208,효천수리골,경기도 하남시 덕풍동 352-1 효천수리골,경기도 하남시 하남대로861번안길 15,분양,개별난방,0,3,103,(주)효천종합건설,(주)효천종합건설,3179599684, ,,위탁관리,계단식,20080624, ,103,8622.9,96,7,0,0,6211.002,4145010800,0,10,0,0,
A10022630,더샵하남에디피스,경기도 하남시 덕풍동 938 더샵하남에디피스,경기도 하남시 하남대로 830,혼합,개별난방,138225,10,980,포스코이앤씨,하남씨구역 주택재개발정비사업조합,317964877, ,아파트,위탁관리,계단식,20240328,317964878,980,86436.66,600,380,0,0,65522.478,4145010800,25,25,2,24,12935
A10025534,덕풍역파크어울림아파트,경기도 하남시 덕풍동 947 덕풍역파크어울림아파트,경기도 하남시 덕풍공원로 50,분양,개별난방,49890.656,5,383,금호건설,대한토지신탁(주),317969260, ,아파트,위탁관리,계단식,20190405,317969261,383,32500.07,383,0,0,0,22967.121,4145010800,23,23,3,12,12973
A10026359,대명세라뷰아파트,경기도 하남시 덕풍동 746 대명세라뷰아파트,경기도 하남시 덕풍북로 210,분양,개별난방,25256.66,4,97,대명건설,대명건설,317928647, ,아파트,위탁관리,혼합식,20080623,317958646,97,14734.9,0,0,89,8,12031.47,4145010800,4,4,2,0,12926
A10027368,하남 더샵 센트럴뷰,경기도 하남시 덕풍동 946 하남 더샵 센트럴뷰,경기도 하남시 하남대로 856,분양,개별난방,111441.92,11,672,포스코건설 주식회사,하남해터지역주택조합,317969882,hanamcentralview.postown.net/,아파트,위탁관리,계단식,20160819,317963869,672,74997.36,0,672,0,0,56969.668,4145010800,19,19,3,23,12936
A46501001,덕풍동원베네스트,경기도 하남시 덕풍동 748 덕풍동원베네스트,경기도 하남시 덕풍북로 236,분양,개별난방,23453.36,7,217,동원시스템즈(주),동원시스템즈(주),317966230,하남풍산동원베네스트.ma-um.co.kr,아파트,자치관리,계단식,20080501,317966231,217,23453.36,0,217,0,0,18436.32,4145010800,15,15,1,10,12926
A46501003,하남제일풍경채,경기도 하남시 덕풍동 759 하남제일풍경채,경기도 하남시 덕풍북로71번길 30,분양,개별난방,70746.234,14,260,제일건설,제일풍경채,317916473,cafe.daum.net/JeilPungKyungChe,연립주택,위탁관리,계단식,20080411,317916478,260,39120.49,0,0,144,116,33451.398,4145010800,4,4,1,33,12930
A46501004,하남풍산아이파크5단지,경기도 하남시 덕풍동 731 하남풍산아이파크5단지,경기도 하남시 덕풍서로 65,분양,개별난방,56188.34,8,365,하남도시공사,현대산업개발,317929711, ,아파트,위탁관리,계단식,20080718,317939711,365,40554.7,0,365,0,0,31011.277,4145010800,15,15,2,15,12928
A46501005,덕풍삼부르네상스,경기도 하남시 덕풍동 729 덕풍삼부르네상스,경기도 하남시 덕풍북로 140,분양,개별난방,83040.54,14,471,삼부토건(주),우리건설(주),317966124, ,아파트,위탁관리,계단식,20080822,317966125,471,60510.312,0,0,471,0,48037.29,4145010800,15,15,1,19,12928
A46501007,하남풍산아이파크1단지,경기도 하남시 덕풍동 823 하남풍산아이파크1단지,경기도 하남시 덕풍남로 11,분양,개별난방,108149.52,14,686,현대산업개발,하남도시개발공사,317966694, ,아파트,위탁관리,계단식,20080718,317966695,686,78366.05,0,588,98,0,59851.818,4145010800,15,15,1,30,12934
A46501201,케이씨씨스위첸,경기도 하남시 덕풍동 690 케이씨씨스위첸,경기도 하남시 신장로205번길 30,분양,개별난방,34283.84,4,244,kcc건설,kcc 건설,317947915,덕풍kcc.apti.co.kr,아파트,위탁관리,계단식,20060221,317947917,244,25851.213,0,244,0,0,20736.6,4145010800,25,25,2,7,12972
A46501301,풍산센트레빌,경기도 하남시 덕풍동 747 풍산센트레빌,경기도 하남시 덕풍동로 110,분양,개별난방,25062.857,5,168,동부건설,(주)빅스타건설,317959371, ,아파트,위탁관리,계단식,20080303,317959372,168,18085.031,0,168,0,0,14266.728,4145010800,12,12,1,8,12926
A46501304,휴먼시아새뜰마을3단지,경기도 하남시 덕풍동 794 휴먼시아새뜰마을3단지,경기도 하남시 덕풍동로 90,임대,개별난방,34794.42,7,401,거동건설(주),한국토지주택공사,317923853,www.kohom.co.kr,아파트,위탁관리,혼합식,20080922,317923863,401,34625.117,401,0,0,0,18571.18,4145010800,15,15,1,0,12933
A46501305,휴먼시아꽃뫼마을2단지,경기도 하남시 덕풍동 777 휴먼시아꽃뫼마을2단지,경기도 하남시 덕풍서로 45,임대,개별난방,50976.387,9,638,요진건설,lh,317920734,320620@kohom.co.kr,아파트,위탁관리,혼합식,20081205,317920754,638,50708.055,638,0,0,0,27148.24,4145010800,15,15,0,13,12931
A46501306,휴먼시아꽃뫼마을1단지,경기도 하남시 덕풍동 775 휴먼시아꽃뫼마을1단지,경기도 하남시 덕풍북로 70,임대,개별난방,64558.586,11,748,남양건설,한국토지주택공사,317962963,http://www.kohom.co.kr,아파트,위탁관리,혼합식,20081201,317962965,748,64249.734,748,0,0,0,35044.58,4145010800,15,15,1,17,12931
A46501308,휴먼시아새뜰마을4단지,경기도 하남시 덕풍동 822 휴먼시아새뜰마을4단지,경기도 하남시 덕풍남로 17,임대,개별난방,30827.713,6,330,우미건설,LH,317931642,www.kohom.co.kr,아파트,위탁관리,혼합식,20080922,317931646,330,30681.26,330,0,0,0,18106.8,4145010800,13,13,1,11,12934
A46570205,덕풍쌍용아파트,경기도 하남시 덕풍동 537-1 덕풍쌍용아파트,경기도 하남시 역말로15번길 35,분양,개별난방,78415,8,585,남광토건,남광토건,317962861,dpssy.apti.co.kr,아파트,위탁관리,계단식,19980123,317962801,585,58012.664,237,207,141,0,47975.64,4145010800,27,27,3,14,12980
A46570304,덕풍현대아파트,경기도 하남시 덕풍동 524 덕풍현대아파트,경기도 하남시 대성로 259,분양,개별난방,60128.566,3,555,현대산업개발,금호조합,317945951,덕풍현대아파트.ma-um.co.kr,아파트,자치관리,혼합식,19951107,317948045,555,57535.38,202,353,0,0,42039.75,4145010800,20,20,1,14,12979
A46570401,하남대동피렌체,경기도 하남시 덕풍동 372-2 하남대동피렌체,경기도 하남시 신장로 151,분양,개별난방,19908.8,1,232,대동건설,케이비부동산(주),317910646, ,주상복합,위탁관리,복도식,20050112,317918665,232,7462.3657,232,0,0,0,7462.528,4145010800,15,15,5,3,12976
A46570503,하남 서해아파트,경기도 하남시 덕풍동 346 하남 서해아파트,경기도 하남시 신장로205번길 16,분양,개별난방,47464.805,2,423,(주)서해종합건설,(주)서해종합건설,317953872,하남덕풍서해.apti.co.kr/,아파트,위탁관리,혼합식,19960413,317954584,423,41712,213,174,36,0,31062.39,4145010800,23,23,3,8,12972
A46571301,한솔리치빌5단지,경기도 하남시 덕풍동 689 한솔리치빌5단지,경기도 하남시 덕산로 50,분양,개별난방,36014,4,268,한솔건설(주),리치빌개발(주),317934782,한솔리치빌5차.ma-um.co.kr,아파트,위탁관리,계단식,20060209,317934783,268,28337.84,40,228,0,0,21774.98,4145010800,25,25,2,6,12981
A46571302,한솔리치빌(3단지),경기도 하남시 덕풍동 688 한솔리치빌(3단지),경기도 하남시 덕산로 80,분양,개별난방,39813.66,3,283,한솔건설(주),덕풍골 약수터 한솔주택조합,317935936, ,아파트,위탁관리,계단식,20060120,317945936,283,23818.17,20,255,8,0,23818.17,4145010800,25,25,2,8,12981
A46571303,한솔리치빌아파트2단지,경기도 하남시 덕풍동 684 한솔리치빌아파트2단지,경기도 하남시 덕산로 60,분양,개별난방,45888,5,347,한솔건설,리치빌개발(주)B주택조합,317926841,hansolrich2.apti.co.kr,아파트,위탁관리,계단식,20021202,317926847,347,39404.965,25,322,0,0,28677.7609,4145010800,25,25,2,8,12981
A46571307,한솔리치빌1차,경기도 하남시 덕풍동 681 한솔리치빌1차,경기도 하남시 덕산로 39,분양,개별난방,101121.97,10,747,한솔건설,한솔건설,317916810, ,아파트,위탁관리,계단식,20021223,317916811,747,86427.9,0,747,0,0,63349.2603,4145010800,25,25,1,16,12981
A46571403,진모루현대,경기도 하남시 덕풍동 404-1 진모루현대,경기도 하남시 신평로 81,분양,개별난방,46868.96,4,387,(주)현대산업개발,현대연합조합주택,317921282, ,아파트,자치관리,계단식,20001222,317941285,387,40935,39,348,0,0,31912.3972,4145010800,25,25,1,10,12967
A46571605,하남자이,경기도 하남시 덕풍동 691 하남자이,경기도 하남시 덕풍공원로 38,분양,개별난방,114554.66,10,875,범우공영,GS건설,317958338,www.ezville.net/,아파트,위탁관리,계단식,20060414,317956886,875,91970.09,184,593,98,0,73693.29,4145010800,26,26,1,20,12973
A46571704,한솔솔파크,경기도 하남시 덕풍동 692 한솔솔파크,경기도 하남시 하남대로887번길 25,분양,개별난방,93306.33,11,616,한솔건설,리치빌 투 지역주택조합,317960022,한솔솔파크.ma-um.co.kr,아파트,위탁관리,계단식,20060615,317960217,616,68232.85,0,597,19,0,52937.14,4145010800,25,25,2,15,12966
A46572006,덕풍벽산블루밍,경기도 하남시 덕풍동 695 덕풍벽산블루밍,경기도 하남시 신평로 36,분양,개별난방,90588.99,9,696,벽산,벽산,317938526,덕풍벽산블루밍.ma-um.co.kr,아파트,위탁관리,계단식,20070430,317938527,696,68612.84,232,464,0,0,53320.56,4145010800,25,25,2,18,12965
A46580001,하남풍산참아름,경기도 하남시 덕풍동 821 하남풍산참아름,경기도 하남시 덕풍동로 60,임대,개별난방,70655.555,14,777,서희건설,경기주택도시공사,317941644,참아름.apti.co.kr,아파트,위탁관리,혼합식,20090506,317941645,777,40233,777,0,0,0,40849.4766,4145010800,14,14,1,19,12934
A46580302,라인,경기도 하남시 덕풍동 336-40 라인,경기도 하남시 하남대로 895,분양,개별난방,41136.81,3,352,라인건설,라인건설,317955957,라인.ma-um.co.kr,아파트,위탁관리,혼합식,19970416,317925901,352,34215.105,176,176,0,0,25359.84,4145010800,22,22,2,7,12966
A10024211,미사역파라곤아파트,경기도 하남시 망월동 1125 미사역파라곤아파트,경기도 하남시 미사강변동로 100,분양,지역난방,183820.53,8,925,(주)동양건설산업/(주)라인건설,(주)하남파라곤,317966146, ,주상복합,위탁관리,계단식,20210729,317966147,925,125339.13,0,0,923,2,99724.1704,4145010900,30,30,3,16,12912
A10025469,미사역 호반 써밋 아파트,경기도 하남시 망월동 1127 미사역 호반 써밋 아파트,경기도 하남시 미사강변한강로 270,분양,지역난방,207909.48,8,846,호반건설,호반건설,3180272411, ,주상복합,위탁관리,계단식,20190611,3180272412,853,111758.664,0,0,842,4,84497.9503,4145010900,30,30,3,17,12912
A10025941,미사강변도시 C3단지,경기도 하남시 망월동 1140 미사강변도시 C3단지,경기도 하남시 미사강변한강로 290,임대,지역난방,107184.27,4,1492,한일건설,LH,317968356, ,아파트,위탁관리,복도식,20181106,317968358,1496,107184.27,1492,0,0,0,45087.8,4145010900,29,29,2,20,12912
A10026105,미사강변14단지,경기도 하남시 망월동 907 미사강변14단지,경기도 하남시 미사강변동로 180,임대,지역난방,115600.44,7,1632,이수건설,한국토지주택공사,317958552, ,아파트,위탁관리,복도식,20180726,317958554,1632,115148.766,1632,0,0,0,55100.56,4145010900,25,25,0,22,12911
A10026619,미사 레스티아 아파트,경기도 하남시 망월동 1177 미사 레스티아 아파트,경기도 하남시 미사강변동로 20,분양,지역난방,170362.67,10,1104,부강주택(주),부강주택(주),317961745,www.msbyapt.com,아파트,위탁관리,계단식,20171031,317961746,1104,89105.69,0,1104,0,0,89105.6908,4145010900,29,29,1,20,12923
A10026784,미사강변해링턴플레이스아파트,경기도 하남시 망월동 1170 미사강변해링턴플레이스아파트,경기도 하남시 미사강변한강로 326,혼합,지역난방,174525.98,12,1401,(주)효성,(주)엔에이에프제1호공공임대위탁관리부동산투자회사,317945750,https://misa29.apti.co.kr/aptHome/Default.asp?,아파트,위탁관리,계단식,20170905,317945754,1401,172558.23,698,703,0,0,96086.51,4145010900,28,28,1,0,12921
A10027180,미사강변스타힐스,경기도 하남시 망월동 956 미사강변스타힐스,경기도 하남시 미사강변대로 240,분양,지역난방,190416.66,16,1389,서희건설,LH,317967538,misastarhills.aptner.com,아파트,위탁관리,계단식,20161124,317967539,1389,189908.2,675,714,0,0,95097.62,4145010900,26,26,2,37,12909
A10027379,미사강변 센텀팰리스,경기도 하남시 망월동 1050 미사강변 센텀팰리스,경기도 하남시 미사강변서로 127,분양,지역난방,224373.22,17,1455,(주)대우건설,LH,317966042,미사강변센텀팰리스.apti.co.kr,아파트,위탁관리,계단식,20160729,317966044,1455,156061.75,0,1455,0,0,118835.19,4145010900,26,26,2,36,12915
A10027476,하남미사강변도시17단지,경기도 하남시 망월동 1044 하남미사강변도시17단지,경기도 하남시 미사강변서로 167-4,임대,지역난방,170403.44,10,2180,두산건설,LH,317949681, ,아파트,위탁관리,복도식,20160704,317949680,2180,169750.97,2180,0,0,0,84332.84,4145010900,28,28,1,31,12915
A10027514,미사강변푸르지오,경기도 하남시 망월동 1060 미사강변푸르지오,경기도 하남시 미사강변대로 165,분양,지역난방,179945.11,15,1188,대우건설,대우건설,317953774, ,아파트,위탁관리,계단식,20160422,317953779,1188,130140.25,0,1188,0,0,98989.9008,4145010900,29,29,1,26,12914
A10027537,미사강변 하우스디 더레이크,경기도 하남시 망월동 1062 미사강변 하우스디 더레이크,경기도 하남시 미사강변대로 135,분양,지역난방,125365,10,821,대보건설,한국토지주택공사,317964382,misa19.com,아파트,위탁관리,계단식,20160525,317964384,821,88862.055,0,821,0,0,67197.15,4145010900,27,27,2,0,12914
A10027691,미사강변13단지,경기도 하남시 망월동 949 미사강변13단지,경기도 하남시 아리수로 530,임대,지역난방,176354.47,11,2742,이수건설,한국토지주택공사,317967516, ,아파트,위탁관리,복도식,20151125,317967519,2742,176354.47,2742,0,0,0,86356.18,4145010900,28,28,1,34,12913
A10027782,미사강변 루나리움,경기도 하남시 망월동 1034 미사강변 루나리움,경기도 하남시 아리수로 499-3,분양,지역난방,167922.95,11,1164,에스티엑스건설(주) 外,한국토지주택공사,317961495,lunarium.apt@gmail.com,아파트,위탁관리,계단식,20150930,317961497,1164,115935.37,368,796,0,0,87518.8,4145010900,29,29,2,1,12908
